安	：①怎么(安求其能千里也)②养(衣食所安)
卑	：①低下(非天质之卑)②身份低微(先帝不以臣卑鄙)
备	：①周全、详尽。(前人之述备矣《岳阳楼记》)②具备。(一时齐发，众妙毕备)③准备。(犹得备晨炊)
被	：①影响(被于来世)②同“披”，穿(皆被绮绣)
鄙	：①边境(蜀之鄙有二僧)②鄙陋、目光短浅(肉食者鄙)③出身鄙野(先帝不以臣卑鄙)
毕	：①尽(毕力平险)②全部(群响毕绝)
薄	：①迫近，接近。(薄暮冥冥)②轻视。(不宜妄自菲薄《出师表》)③厚度小。(薄如钱唇)
策	：①马鞭。(执策而临之)②鞭打、驱使。(策之不以其道)③记录。(策勋十二传)⑤计谋。(成语“束手无策”)
长	：cháng①长度。(舟首尾长约八分有奇)②与“短”相对。(北市买长鞭)③长久，健康。(但愿人长久《明月几时有》)④永远。(死者长已矣)⑤zhǎng，排行最大(木兰无长兄)⑥zhǎng，头领。(吴广皆次当行，为屯长)
称	：①相当、配合(称其气之小大/不能称前时之闻)②称赞(先帝称之曰能)
诚	：①诚心(帝感其诚)②的确，实在(此诚危急存亡之秋也)③果真(今诚以吾众诈自称公子扶苏项燕/诚如是，则霸业可成，汉室可兴)
惩	：①苦于(惩山北之塞)②惩罚
驰	：①骑(愿驰千里足)②驱车(追赶)(公将驰之)
出	：①发、起(方其出海门)②在边疆打仗(出则方叔、召虎)③来到(每岁京尹出浙江亭教阅水兵)④产生(计将安出)
辞	：①推辞(蒙辞以军中多务)②语言(未尝稍降辞色)
次	：①编次。(吴广皆次当行)②旅行或行军在途中停留。(又间令吴广之次所旁丛祠中)
箪	：①用箪装着(百姓孰敢不箪食壶浆)②古代装饭的圆形竹筐(一箪食，一豆羹)
当	：①承当，承受。(当之无愧)②应当。(当奖率三军)③将要、(今当远离)④对着，向着。(木兰当户织)⑤值，正在。(当时此，诸郡县苦秦吏者)⑥抵挡。(“锐不可当”)
道	：①道路。(会天大雨，道不通)②道义。(伐无道，诛暴秦)③方法。(策之不以其道)④说，讲。(不足为外人道也)
得	：①能够(二者不可得兼)②得到、获得(故不为苟得)③同“德”，感激(所识穷乏者得我与)
等	：①同样(等死，死国可乎/且欲与常马等不可得)②诸位，表多数(公等遇雨)
敌	：①攻击(恐前后受其敌《狼》)②敌人(盖以诱敌)
吊	：①凭吊(为我吊望诸君之墓)②慰问(人皆吊之)
度	：①dúo估计、推测(孤不度德量力)②渡过、越过(关山度若飞)
端	：①画幅的右端(左手执卷端)②正、端正(其人视端容寂)
恶	：①怎么(恶能无纪)②厌恶(所恶有甚于死者)
